LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
32.27748611,32.27748611,-85.38753889,-85.38753889
30.93913889,30.93913889,-88.12409722,-88.12409722
33.31581944,33.31581944,-87.03642222,-87.03642222
32.58282778,32.58282778,-85.16434722,-85.16434722
34.41686944,34.41686944,-87.16152778,-87.16152778
33.80794722,33.80794722,-87.23448889,-87.23448889
32.39621111,32.39621111,-85.03215833,-85.03215833
34.26909444,34.26909444,-86.05895556,-86.05895556
31.04172222,31.04172222,-85.84841667,-85.84841667
30.91663611,30.91663611,-88.27211944,-88.27211944
34.69343056,34.69343056,-87.62211111,-87.62211111
33.97456944,33.97456944,-86.04237778,-86.04237778
34.53246667,34.53246667,-85.82961111,-85.82961111
34.70062778,34.70062778,-86.62729444,-86.62729444
33.51838611,33.51838611,-86.79743611,-86.79743611
34.69208889,34.69208889,-86.62751667,-86.62751667
34.50293056,34.50293056,-87.73850833,-87.73850833
32.85226944,32.85226944,-85.27154444,-85.27154444
34.18125556,34.18125556,-86.15685833,-86.15685833
30.60831944,30.60831944,-88.07484722,-88.07484722
33.53759167,33.53759167,-86.784475,-86.784475
33.04453056,33.04453056,-87.38225,-87.38225
34.83062778,34.83062778,-86.69988056,-86.69988056
32.45358333,32.45358333,-85.6051,-85.6051
34.88533056,34.88533056,-87.905675,-87.905675
32.59227222,32.59227222,-85.506025,-85.506025
33.62090556,33.62090556,-85.92312778,-85.92312778
34.85861944,34.85861944,-85.61341667,-85.61341667
33.45818056,33.45818056,-87.099625,-87.099625
34.77768611,34.77768611,-87.12489722,-87.12489722
33.82618333,33.82618333,-86.83023056,-86.83023056
33.11144722,33.11144722,-87.43035833,-87.43035833
32.18803889,32.18803889,-85.84220278,-85.84220278
32.62739167,32.62739167,-85.50083889,-85.50083889
31.27871111,31.27871111,-85.14579167,-85.14579167
30.63053889,30.63053889,-87.88702778,-87.88702778
31.43847222,31.43847222,-85.65687778,-85.65687778
31.08428611,31.08428611,-87.58785556,-87.58785556
33.09205,33.09205,-87.4585,-87.4585
34.79221389,34.79221389,-87.09791944,-87.09791944
34.62806667,34.62806667,-86.9107,-86.9107
34.420525,34.420525,-85.94458333,-85.94458333
33.25454722,33.25454722,-86.21264722,-86.21264722
32.48479444,32.48479444,-85.00660278,-85.00660278
32.14475833,32.14475833,-85.71346944,-85.71346944
34.6848,34.6848,-87.56411667,-87.56411667
34.51752222,34.51752222,-87.67285556,-87.67285556
34.72394444,34.72394444,-87.82126389,-87.82126389
30.89733056,30.89733056,-87.77675556,-87.77675556
34.54708333,34.54708333,-86.43003056,-86.43003056
30.71976111,30.71976111,-88.14605556,-88.14605556
31.416425,31.416425,-86.56036389,-86.56036389
